Date,Number of COVID-19 confirmed deaths registered to date
2021-06-27,7712
2021-06-28,7712
2021-06-29,7713
2021-06-30,7716
2021-07-01,7722
2021-07-02,7726
2021-07-03,7729
2021-07-04,7729
2021-07-05,7729
2021-07-06,7735
2021-07-07,7740
2021-07-08,7744
2021-07-09,7750
2021-07-10,7757
2021-07-11,7757
2021-07-12,7757
2021-07-13,7761
2021-07-14,7772
2021-07-15,7791
2021-07-16,7796
2021-07-17,7800
2021-07-18,7800
2021-07-19,7800
2021-07-20,7813
2021-07-21,7820
2021-07-22,7842
2021-07-23,7848
2021-07-24,7859
2021-07-25,7859
2021-07-26,7859
2021-07-27,7866
2021-07-28,7911
2021-07-29,7924
2021-07-30,7930
2021-07-31,7939
2021-08-01,7942
2021-08-02,7943
2021-08-03,7952
2021-08-04,7965
2021-08-05,7976
2021-08-06,7983
2021-08-07,7992
2021-08-08,7992
2021-08-09,7992
2021-08-10,8003
2021-08-11,8013
2021-08-12,8021
2021-08-13,8029
2021-08-14,8032
2021-08-15,8032
2021-08-16,8032
2021-08-17,8041
2021-08-18,8051
2021-08-19,8058
2021-08-20,8067
2021-08-21,8070
2021-08-22,8070
2021-08-23,8070
2021-08-24,8080
2021-08-25,8085
2021-08-26,8099
2021-08-27,8103
2021-08-28,8111
2021-08-29,8111
2021-08-30,8111
2021-08-31,8118
2021-09-01,8127
2021-09-02,8144
2021-09-03,8154
2021-09-04,8165
2021-09-05,8165
2021-09-06,8165
2021-09-07,8181
2021-09-08,8198
2021-09-09,8210
2021-09-10,8232
2021-09-11,8242
2021-09-12,8242
2021-09-13,8242
2021-09-14,8263
2021-09-15,8293
2021-09-16,8319
2021-09-17,8349
2021-09-18,8376
2021-09-19,8378
2021-09-20,8378
2021-09-21,8396
2021-09-22,8427
2021-09-23,8464
2021-09-24,8514
2021-09-25,8532
2021-09-26,8534
2021-09-27,8535
2021-09-28,8551
2021-09-29,8579
2021-09-30,8614
2021-10-01,8648
2021-10-02,8665
2021-10-03,8666
2021-10-04,8666
2021-10-05,8687
2021-10-06,8721
2021-10-07,8760
2021-10-08,8773
2021-10-09,8791
2021-10-10,8792
2021-10-11,8792
2021-10-12,8819
2021-10-13,8849
2021-10-14,8878
2021-10-15,8907
2021-10-16,8928
2021-10-17,8930
2021-10-18,8930
2021-10-19,8954
2021-10-20,8980
2021-10-21,9012
2021-10-22,9031
2021-10-23,9051
2021-10-24,9052
2021-10-25,9052
2021-10-26,9072
2021-10-27,9099
2021-10-28,9119
2021-10-29,9143
2021-10-30,9163
2021-10-31,9163
2021-11-01,9163
2021-11-02,9189
2021-11-03,9209
2021-11-04,9242
2021-11-05,9267
2021-11-06,9291
2021-11-07,9293
2021-11-08,9293
2021-11-09,9313
2021-11-10,9332
2021-11-11,9358
2021-11-12,9375
2021-11-13,9388
2021-11-14,9389
2021-11-15,9389
2021-11-16,9406
2021-11-17,9419
2021-11-18,9448
2021-11-19,9467
2021-11-20,9478
2021-11-21,9478
2021-11-22,9478
2021-11-23,9495
2021-11-24,9504
2021-11-25,9524
2021-11-26,9545
2021-11-27,9562
2021-11-28,9562
2021-11-29,9562
2021-11-30,9572
2021-12-01,9591
2021-12-02,9618
2021-12-03,9634
2021-12-04,9648
2021-12-05,9649
2021-12-06,9649
2021-12-07,9661
2021-12-08,9672
