Date,Number of COVID-19 confirmed deaths registered to date
2020-11-29T00:00:00Z,3722
2020-11-30T00:00:00Z,3725
2020-12-01T00:00:00Z,3759
2020-12-02T00:00:00Z,3797
2020-12-03T00:00:00Z,3848
2020-12-04T00:00:00Z,3889
2020-12-05T00:00:00Z,3911
2020-12-06T00:00:00Z,3916
2020-12-07T00:00:00Z,3917
2020-12-08T00:00:00Z,3950
2020-12-09T00:00:00Z,3989
2020-12-10T00:00:00Z,4039
2020-12-11T00:00:00Z,4070
2020-12-12T00:00:00Z,4109
2020-12-13T00:00:00Z,4111
2020-12-14T00:00:00Z,4111
2020-12-15T00:00:00Z,4135
2020-12-16T00:00:00Z,4173
2020-12-17T00:00:00Z,4203
2020-12-18T00:00:00Z,4239
2020-12-19T00:00:00Z,4280
2020-12-20T00:00:00Z,4283
2020-12-21T00:00:00Z,4283
2020-12-22T00:00:00Z,4326
2020-12-23T00:00:00Z,4373
2020-12-24T00:00:00Z,4416
2020-12-25T00:00:00Z,4459
2020-12-26T00:00:00Z,4459
2020-12-27T00:00:00Z,4460
2020-12-28T00:00:00Z,4460
2020-12-29T00:00:00Z,4467
2020-12-30T00:00:00Z,4510
2020-12-31T00:00:00Z,4578
2021-01-01T00:00:00Z,4621
2021-01-02T00:00:00Z,4621
2021-01-03T00:00:00Z,4622
2021-01-04T00:00:00Z,4622
2021-01-05T00:00:00Z,4633
2021-01-06T00:00:00Z,4701
2021-01-07T00:00:00Z,4779
2021-01-08T00:00:00Z,4872
2021-01-09T00:00:00Z,4965
2021-01-10T00:00:00Z,4968
2021-01-11T00:00:00Z,4969
2021-01-12T00:00:00Z,5023
2021-01-13T00:00:00Z,5102
2021-01-14T00:00:00Z,5166
2021-01-15T00:00:00Z,5227
2021-01-16T00:00:00Z,5305
2021-01-17T00:00:00Z,5305
2021-01-18T00:00:00Z,5305
2021-01-19T00:00:00Z,5376
2021-01-20T00:00:00Z,5468
2021-01-21T00:00:00Z,5557
2021-01-22T00:00:00Z,5628
2021-01-23T00:00:00Z,5704
2021-01-24T00:00:00Z,5705
2021-01-25T00:00:00Z,5709
2021-01-26T00:00:00Z,5796
2021-01-27T00:00:00Z,5888
2021-01-28T00:00:00Z,5970
2021-01-29T00:00:00Z,6040
2021-01-30T00:00:00Z,6100
2021-01-31T00:00:00Z,6106
2021-02-01T00:00:00Z,6112
2021-02-02T00:00:00Z,6181
2021-02-03T00:00:00Z,6269
2021-02-04T00:00:00Z,6322
2021-02-05T00:00:00Z,6383
2021-02-06T00:00:00Z,6431
2021-02-07T00:00:00Z,6438
2021-02-08T00:00:00Z,6443
2021-02-09T00:00:00Z,6501
2021-02-10T00:00:00Z,6551
2021-02-11T00:00:00Z,6599
2021-02-12T00:00:00Z,6666
2021-02-13T00:00:00Z,6711
2021-02-14T00:00:00Z,6715
2021-02-15T00:00:00Z,6715
2021-02-16T00:00:00Z,6764
2021-02-17T00:00:00Z,6828
2021-02-18T00:00:00Z,6885
2021-02-19T00:00:00Z,6916
2021-02-20T00:00:00Z,6945
2021-02-21T00:00:00Z,6950
2021-02-22T00:00:00Z,6950
2021-02-23T00:00:00Z,7006
2021-02-24T00:00:00Z,7053
2021-02-25T00:00:00Z,7084
2021-02-26T00:00:00Z,7111
