Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-08-29,1324,366,312,985,1126,1927,5323,407,2907,3327,16,56,2112,7
2020-08-30,1340,367,313,989,1133,1933,5362,408,2933,3342,16,56,2119,7
2020-08-31,1348,370,313,993,1142,1937,5431,411,2960,3360,17,56,2133,7
2020-09-01,1359,372,314,997,1149,1939,5497,417,2987,3378,17,56,2143,7
2020-09-02,1365,373,314,1000,1156,1942,5583,421,3013,3394,17,56,2147,7
2020-09-03,1371,375,314,1000,1157,1948,5636,432,3028,3397,17,56,2151,7
2020-09-04,1381,378,314,1006,1164,1954,5709,445,3044,3414,17,56,2157,9
2020-09-05,1388,379,315,1006,1178,1956,5777,451,3064,3428,17,56,2165,9
2020-09-06,1399,383,318,1014,1192,1970,5869,457,3094,3446,17,56,2173,9
2020-09-07,1408,384,318,1016,1195,1978,5947,463,3113,3459,17,56,2180,9
2020-09-08,1416,386,322,1018,1203,1983,6038,467,3145,3475,17,56,2184,9
2020-09-09,1425,389,323,1025,1213,1991,6101,470,3164,3504,17,56,2191,9
2020-09-10,1433,393,326,1030,1216,1996,6166,473,3210,3516,17,57,2197,9
2020-09-11,1445,395,326,1033,1223,1998,6246,477,3249,3540,17,57,2199,9
2020-09-12,1449,401,329,1038,1224,2003,6352,481,3297,3575,17,57,2203,9
2020-09-13,1460,413,330,1042,1228,2011,6456,489,3359,3600,17,57,2208,9
2020-09-14,1470,415,331,1044,1230,2017,6483,494,3367,3606,17,57,2209,9
2020-09-15,1483,420,333,1049,1239,2026,6584,501,3426,3659,17,57,2213,9
2020-09-16,1492,424,340,1052,1254,2042,6689,512,3466,3704,17,57,2225,9
2020-09-17,1506,433,341,1063,1263,2055,6801,525,3518,3751,17,57,2233,10
2020-09-18,1514,447,343,1070,1273,2065,6870,535,3547,3781,17,57,2247,10
2020-09-19,1527,460,346,1091,1281,2078,6986,549,3603,3861,19,60,2255,10
2020-09-20,1528,465,350,1114,1293,2098,7046,557,3652,3914,19,60,2265,10
2020-09-21,1535,473,354,1128,1309,2114,7149,559,3699,3944,19,60,2273,10
2020-09-22,1542,473,356,1142,1324,2121,7330,566,3791,3995,19,60,2280,10
2020-09-23,1555,478,360,1165,1336,2140,7554,574,3898,4052,19,60,2294,10
2020-09-24,1567,479,367,1182,1352,2159,7773,594,3964,4125,20,60,2308,10
2020-09-25,1591,487,370,1200,1363,2171,8028,609,4025,4244,20,60,2337,13
