Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2021-05-27,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-05-28,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-05-29,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-05-30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-05-31,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2021-06-01,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
2021-06-02,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
2021-06-03,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2021-06-04,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2021-06-05,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2021-06-06,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2021-06-07,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2021-06-08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-09,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-10,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-11,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-13,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-14,5,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2021-06-15,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*
2021-06-16,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2021-06-17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-21,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-22,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-23,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2021-06-24,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021-06-26,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*
2021-06-27,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*
2021-06-28,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2021-06-29,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2021-06-30,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2021-07-01,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2021-07-02,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2021-07-03,*,*,*,*,*,*,7,*,5,*,*,*,*,*,*
2021-07-04,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
2021-07-05,*,*,*,*,*,*,10,*,*,7,*,*,*,*,*
2021-07-06,*,*,*,*,*,*,12,*,*,6,*,*,6,*,*
2021-07-07,*,*,*,*,*,*,11,*,6,7,*,*,5,*,*
2021-07-08,*,*,*,*,*,*,12,*,*,9,*,*,6,*,*
2021-07-09,*,*,*,*,*,*,13,*,5,10,*,*,5,*,*
2021-07-10,*,*,*,*,*,*,12,*,6,11,*,*,5,*,*
2021-07-11,*,*,*,*,*,*,10,*,7,10,*,*,*,*,*
2021-07-12,*,*,*,*,*,5,9,*,5,11,*,*,*,*,*
2021-07-13,*,*,*,*,*,5,8,*,6,11,*,*,*,*,*
2021-07-14,*,*,*,*,*,7,9,*,7,11,*,*,*,*,*
2021-07-15,*,*,*,*,*,6,11,*,7,11,*,*,*,*,*
2021-07-16,*,*,*,*,*,5,12,*,6,11,*,*,*,*,*
2021-07-17,*,*,*,*,*,5,11,*,8,10,*,*,*,*,*
2021-07-18,*,*,*,*,*,*,10,*,8,8,*,*,5,*,*
2021-07-19,*,*,*,*,*,*,9,*,8,9,*,*,*,*,*
2021-07-20,*,*,*,*,*,*,10,*,7,10,*,*,6,*,*
2021-07-21,*,*,*,*,*,*,8,*,7,12,*,*,7,*,*
2021-07-22,*,*,*,*,*,6,9,*,8,13,*,*,7,*,*
2021-07-23,*,*,*,*,*,7,9,*,8,15,*,*,5,*,*
2021-07-24,*,*,*,*,*,7,12,*,9,15,*,*,*,*,*
2021-07-25,*,*,*,*,*,7,15,5,9,15,*,*,*,*,*
2021-07-26,5,*,*,*,*,6,14,*,8,16,*,*,*,*,*
2021-07-27,5,*,*,*,*,7,13,*,10,15,*,*,*,*,*
2021-07-28,5,*,*,*,*,7,13,*,9,15,*,*,*,*,*
